Kategori,Nama Kolom KPI Harapan / Deskripsi,Nama Kolom KPI Bank XYZ / Fisik
1. Citra Merek & Hubungan Emosional,Bank Yang Terkenal Terkemuka,Bank Yang Terkenal Terkemuka Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Digunakan Banyak Orang,Bank Yang Digunakan Banyak Orang Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Membuat Saya Merasa Aman,Bank Yang Membuat Saya Merasa Aman Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Membuat Saya Merasa Dihargai Menjadi Nasabah Bank Ini,Bank Yang Membuat Saya Merasa Dihargai Menjadi Nasabah Bank Ini Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memiliki Banyak Atm,Bank Yang Memiliki Banyak Kantor Cabang Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memiliki Banyak Kantor Cabang,Bank Yang Memiliki Banyak Kantor Cabang Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memiliki Reputasi Yang Baik,Bank Yang Memiliki Reputasi Yang Baik Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Menawarkan Produk Layanan Yang Lengkap,Bank Yang Menawarkan Produk Layanan Yang Lengkap Xyz
1. Citra Merek & Hubungan Emosional,Menyediakan Layanan Online Terkait Dengan Informasi Produk,Menyediakan Layanan Online Terkait Dengan Informasi Produk Xyz
1. Citra Merek & Hubungan Emosional,Menyediakan Banyak Channel Call Center Sms Email Dsb Untuk Nasabah Menyampaikan Keluhan Saran,Menyediakan Banyak Channel Call Center Sms Email Dsb Untuk Nasabah Menyampaikan Keluhan Saran Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Menguntungkan Untuk Investasi Pengembangan Kekayaan Uang Saya,Bank Yang Menguntungkan Untuk Investasi Pengembangan Kekayaan Uang Saya Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Membuat Saya Merasa Bangga Karena Produk Layanan Promo Yang Tidak Saya Dapatkan Dari Bank Lain,Bank Yang Membuat Saya Merasa Bangga Karena Produk Layanan Promo Yang Tidak Saya Dapatkan Dari Bank Lain Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Membuat Saya Merasa Percaya Diri Dan Dapat Mengontrol Penuh Kebutuhan Transaksi Perbankan Saya,Bank Yang Membuat Saya Merasa Percaya Diri Dan Dapat Mengontrol Penuh Kebutuhan Transaksi Perbankan Saya Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Membuat Saya Merasa Prestigious Bergengsi,Bank Yang Membuat Saya Merasa Prestigious Bergengsi Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memberikan Kemudahan Untuk Bertransaksi Dimanapun Dan Kapanpun,Bank Yang Memberikan Kemudahan Untuk Bertransaksi Dimanapun Dan Kapanpun Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Mempermudah Bisnis Saya,Bank Yang Mempermudah Bisnis Saya Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memberikan Banyak Kemudahan,Bank Yang Memberikan Banyak Kemudahan Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Memiliki Kinerja Bisnis Yang Baik,Bank Yang Memiliki Kinerja Bisnis Yang Baik Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Selalu Menggunakan Teknologi Terbaru,Bank Yang Selalu Menggunakan Teknologi Terbaru Xyz
1. Citra Merek & Hubungan Emosional,Bank Yang Dimiliki Oleh Negara,Bank Yang Dimiliki Oleh Negara Xyz
1. Citra Merek & Hubungan Emosional,Bank Swasta Terbesar Di Indonesia,Bank Swasta Terbesar Di Indonesia Xyz
1. Citra Merek & Hubungan Emosional,Memberikan Keuntungan Saat Digunakan Untuk Bertransaksi Diskon Cashback Point Rewards,Memberikan Keuntungan Saat Digunakan Untuk Bertransaksi Diskon Cashback Point Rewards Xyz
1. Citra Merek & Hubungan Emosional,Memiliki Fitur Transaksi Di E Channel Lengkap Atm Mobile Banking Internet Banking Lengkap,Memiliki Fitur Transaksi Di E Channel Lengkap Atm Mobile Banking Internet Banking Lengkap Xyz
1. Citra Merek & Hubungan Emosional,Bank Dengan Segala Produk Dan Fasilitas Yang Membuat Saya Merasa Cukup Dengan Menjadi Nasabah Satu Bank Saja,Bank Dengan Segala Produk Dan Fasilitas Yang Membuat Saya Merasa Cukup Dengan Menjadi Nasabah Satu Bank Saja Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Kantor Cabangnya Banyak Dekat Dengan Tempat Tinggal Dan Atau Tempat Kerja Saya,Kantor Cabangnya Banyak Dekat Dengan Tempat Tinggal Dan Atau Tempat Kerja Saya Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Menyediakan Layanan Weekend Banking,Menyediakan Layanan Weekend Banking Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Penampilan Luar Bangunan Cabang Dan Papan Nama Cabang Dalam Keadaan Bersih Jelas Dan Terawat,Penampilan Luar Bangunan Cabang Dan Papan Nama Cabang Dalam Keadaan Bersih Jelas Dan Terawat Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedia Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir,Tersedia Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Ada Petugas Sekuriti Yang Mengatur Di Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir,Ada Petugas Sekuriti Yang Mengatur Di Area Parkir Khusus Untuk Cabang Di Gedung Sendiri Ruko Dan Cabang Yang Menghadap Ke Tempat Parkir Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Kebersihan Di Area Parkir,Kebersihan Di Area Parkir Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Kebersihan Pada Area Masuk Cabang,Kebersihan Pada Area Masuk Cabang Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedia Tempat Duduk Yang Cukup Di Ruang Tunggu,Tersedia Tempat Duduk Yang Cukup Di Ruang Tunggu Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Pendingin Ruangan Di Ruang Tunggu Sejuk,Pendingin Ruangan Di Ruang Tunggu Sejuk Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Ruang Tunggu Nyaman,Ruang Tunggu Nyaman Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Disediakan Wifi Gratis Di Ruang Tunggu,Disediakan Wifi Gratis Di Ruang Tunggu Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedia Tv Di Ruang Tunggu,Tersedia Tv Di Ruang Tunggu Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Area Ruang Tunggunya Wangi,Area Ruang Tunggunya Wangi Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Diputarkan Lagu Lembut Yang Mengalun Di Area Banking Hall,Diputarkan Lagu Lembut Yang Mengalun Di Area Banking Hall Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Banking Hall Area Ruang Tunggunya Bersih,Banking Hall Area Ruang Tunggunya Bersih Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Terdapat Tempat Sampah Dan Mudah Ditemukan,Terdapat Tempat Sampah Dan Mudah Ditemukan Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedia Penunjuk Arah Ruang Pelayanan Nasabah Yang Jelas Mudah Terlihat Cs Teller Toilet Dan Bisnis Unit Lainnya,Tersedia Penunjuk Arah Ruang Pelayanan Nasabah Yang Jelas Mudah Terlihat Cs Teller Toilet Dan Bisnis Unit Lainnya Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Area Ruang Tertata Dengan Baik Rapi Dan Teratur,Area Ruang Tertata Dengan Baik Rapi Dan Teratur Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tata Letak Di Kantor Cabang Mudah Untuk Diikuti Dan Mudah Untuk Menemukan Sesuatu Yang Dibutuhkan,Tata Letak Di Kantor Cabang Mudah Untuk Diikuti Dan Mudah Untuk Menemukan Sesuatu Yang Dibutuhkan Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Terdapat Tanaman Hidup,Terdapat Tanaman Hidup Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedianya Ruang Laktasi,Tersedianya Ruang Laktasi Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Kemudahan Mengisi Data Data Pembukaan Rekening Baru Pada E Form Formulir Elektronik,Kemudahan Mengisi Data Data Pembukaan Rekening Baru Pada E Form Formulir Elektronik Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Terdapat Petunjuk Arah Ke Toilet,Terdapat Petunjuk Arah Ke Toilet Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Terdapat Toilet Di Cabang,Terdapat Toilet Di Cabang Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Toilet Bersih,Toilet Bersih Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Toilet Selalu Harum Dan Tidak Bau,Toilet Selalu Harum Dan Tidak Bau Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tersedia Wastafel Di Area Toilet,Tersedia Wastafel Di Area Toilet Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Selalu Tersedia Tisu Di Toilet,Selalu Tersedia Tisu Di Toilet Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Selalu Tersedia Sabun Pencuci Tangan Di Toilet,Selalu Tersedia Sabun Pencuci Tangan Di Toilet Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Air Selalu Mengalir Dengan Lancar Di Semua Keran Yang Ada Di Toilet,Air Selalu Mengalir Dengan Lancar Di Semua Keran Yang Ada Di Toilet Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Toilet Selalu Berfungsi Dengan Baik,Toilet Selalu Berfungsi Dengan Baik Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Terdapat Tempat Sampah Di Toilet Dan Mudah Ditemukan,Terdapat Tempat Sampah Di Toilet Dan Mudah Ditemukan Xyz
2. Fasilitas Fisik & Kenyamanan Kantor Cabang,Tempat Sampah Tidak Penuh,Tempat Sampah Tidak Penuh Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Penampilannya Sesuai Dengan Standar Tinggi Tegap Besar Dan Tidak Gemuk,Penampilannya Sesuai Dengan Standar Tinggi Tegap Besar Dan Tidak Gemuk Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Penampilannya Rapi,Penampilannya Rapi Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Menggunakan Seragam Sekuriti Yang Lengkap,Menggunakan Seragam Sekuriti Yang Lengkap Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Menyambut Nasabah Dengan Ramah,Menyambut Nasabah Dengan Ramah Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Berperilaku Sopan,Berperilaku Sopan Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Mengucapkan Salam Saat Nasabah Datang Pulang,Mengucapkan Salam Saat Nasabah Datang Pulang Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Menawarkan Bantuan Saat Nasabah Datang,Menawarkan Bantuan Saat Nasabah Datang Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Margarahkan Nasabah Dan Mengkonfirmasi Kelengkapan Dokumen Yang Diperlukan Untuk Bertransaksi,Margarahkan Nasabah Dan Mengkonfirmasi Kelengkapan Dokumen Yang Diperlukan Untuk Bertransaksi Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Memiliki Pengetahuan Yang Memadai Untuk Menjawab Pertanyaan Dari Nasabah,Memiliki Pengetahuan Yang Memadai Untuk Menjawab Pertanyaan Dari Nasabah Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Memberikan Nomor Antrian Kepada Nasabah,Memberikan Nomor Antrian Kepada Nasabah Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Mengatur Antrian Nasabah,Mengatur Antrian Nasabah Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Mengucapkan Terima Kasih Saat Nasabah Pulang,Mengucapkan Terima Kasih Saat Nasabah Pulang Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Jumlah Sekuriti Memadai,Jumlah Sekuriti Memadai Xyz
3. Pelayanan Sekuriti & Proteksi Keamanan,Keberadaan Satpam Luar Banking Hall Yang Siap Dan Siaga N A Untuk Kcp,Keberadaan Satpam Luar Banking Hall Yang Siap Dan Siaga N A Untuk Kcp Xyz
